# Words from the community Discord archive, each looked at and marked
# correct or incorrect, with the reason.
#
# The archive is usage, not authority. Some of it is careful work by
# people who know the grammar; some is a first draft, a typo, a bot, a
# foreign name, or correct Ithkuil in a version we do not implement.
# Counting words in it and treating the count as evidence goes wrong
# quietly, so a word cited as evidence should appear here first.
#
# The verdict is about the WORD, not about our handling of it:
#
#   correct     well-formed under v1.3.1
#   incorrect   not well-formed; the rule column says what it breaks
#
# A leading "!" marks a word we currently disagree with: "!correct" is
# a well-formed word we fail to read. Those are filed defects, and the
# test reports them rather than failing, so the list stays honest about
# the difference between "the corpus is wrong" and "we are wrong".
#
# Provenance decides some of these. words.py drops messages from before
# 2023, because v1.3.1 was published that year and the older material
# scores 36-56% against our parser versus 61-80% after.
#
# Verdict | Word | Rule | Reason

# ── foreign names ───────────────────────────────────────────────────
# Not Ithkuil at all. A speaker writing a place name approximates it
# with Ithkuil letters, and the result does not have to obey Ithkuil
# phonotactics; §4.4 and §4.5 exist to carry exactly this. Both are
# "Hong Kong", one message using it in "hli'o hoňkoň", to Hong Kong.
# A 2022 thread says so outright: "höňkoň is normally impermissible but
# isn't here due to lax phonotactic rules".
incorrect | hoňkoň | §4.5 | foreign name (Hong Kong), not an Ithkuil word.
# slots, and their Slot 3 consonant is the C_M "n" or "ň" the table
# calls for. Every second-position consonant in the pre-2023 Discord
# modulars is a C_N instead, which is what made the limit look
# uncertain until the era of that evidence was checked.
correct | uhlaini | §4.3 | Slot 2 "u"+"hl", Slot 3 "ai"+"n", Slot 4 "i". Grammar example.
correct | öhwoňó | §4.3 | Slot 2 "ö"+"hw", Slot 3 "o"+"ň", Slot 4 "ó". Grammar example.

# ── root shape ──────────────────────────────────────────────────────
# §3 forbids a root beginning with h-, w- or y-. These parsed into a
# Formative with Cr = "w" and rendered back into a different word.
incorrect | awaçmas | §3 | root would be "w"; a root may not begin with w-.
incorrect | awaçmasá | §3 | root would be "w"; a root may not begin with w-.
incorrect | awaçmüsúi | §3 | root would be "w"; a root may not begin with w-.
incorrect | awáçmaisa | §3 | root would be "w"; a root may not begin with w-.

# ── letters v4 does not have ────────────────────────────────────────
# The pre-v4 drafts used a wider alphabet. A word spelled with one of
# those letters is not v4 text, whatever else is true of it. Compare
# the spelling variants words.py now folds (’ and ʼ for the glottal
# stop, ț for ţ): those are the same letter typed differently, and
# leaving them unfolded manufactured fragments.
incorrect | iţkuîl | §1 | "î" is not a v4 letter; the v4 spelling is "iţkuil".
incorrect | ëıtfoıgyaölw | §1 | dotless "ı" is not a v4 letter.

# ── typing slips ────────────────────────────────────────────────────
incorrect | yaivļiwáaaa | §1.2 | "áaaa" is a held vowel for emphasis, not a vowel form.

# ── plain attested formatives ───────────────────────────────────────
# Ordinary correct usage, kept so the list is not only about failures.
correct | maţřëullait | §3 | the community name for v4; parses and round-trips.
correct | mmiexinļ | §5.6 | PVS referential + IVL affix: "Why?".
correct | amálawëi | §3.2.9 | leading Vv elides here, since m- is a legal word onset.

# ── §4.6 case-accessor shortcuts (audit finding) ────────────────────
# The largest group of words we cannot read, and one missing feature
# rather than scattered noise. §4.6 lets a Slot V or VII affix vowel be
# a Column-4 form from the Standard Vowel Sequence — ao aö eo eö oë öe
# oe öa oa — marking a Transrelative case, and says so explicitly:
# usable "regardless of other V_X C_S affixes being present in the same
# Slot". The same section gives the Type-3 referential shortcut degrees
# (ia/uä, ie/uë, …) for a lone Type-3 affix.
#
# parse.AffixVowel's three tables hold none of the Column-4 forms, so
# every one of these fails with "affix vowel eö on Cs r is not a Vx
# form" and the word falls through unclassified. 121 corpus words fail
# this way; 351 contain a Column-4 vowel form somewhere.
!correct | vļaveörá | §4.6 | Slot VII affix vowel "eö", the AFFECTIVE case shortcut.
!correct | ekřadeöříyoa | §4.6 | Slot VII affix vowel "eö" on Cs "ř".
!correct | yevtleölwaňiyá | §4.6 | Slot VII affix vowel "eö" on Cs "lw".
!correct | uţtälireölweölá | §4.6 | two Column-4 affix vowels, "eö" twice.

# The second-largest group is the same feature seen from the other
# side. A combination referential whose case vowel carries a glottal,
# or which takes a -w/-y Perspective increment, falls through to the
# formative parser, which then reports the Spec marker x or the
# increment w as an unrecognised Ca. 84 words fail this way.
# "mmiexinļ" and "mma'oxinļ" parse, so the shape is partly handled;
# these differ in where the glottal sits.
!correct | mmia'xinļ | §4.6.2 | combination referential; glottal ends the Vc.
!correct | sa'xinļ | §4.6.2 | combination referential read as a formative with Ca "x".
!correct | lai'wiš | §4.6 | -w Perspective increment read as a Ca.

# ── correctly rejected, for contrast ────────────────────────────────
# Hyphens in this group join things that are not §3.1.7 chains: place
# names and an English prefix bolted onto an Ithkuil word. The parser
# is right to refuse them, and they are here so the "slots" bucket is
# not mistaken for a defect.
incorrect | tokyo-lëndën | §3.1.7 | two foreign place names joined by a hyphen.
incorrect | non-maţřëullait | §1 | English "non-" prefixed to an Ithkuil word.
incorrect | maţreüllait | §1.2 | misspelling of maţřëullait: "eü" for "ëu", no ř.

# Bare fragments: an affix, a cluster, or a vowel quoted on its own
# while discussing the grammar. Each is a piece of a word, not a word.
incorrect | ëinļ | §3.5 | the IVL affix quoted bare, without its formative.
incorrect | kçp | §2 | a bare consonant cluster, no vowels.
incorrect | ë'i | §1.2 | two vowels and a glottal; no root.
