Affix	Abv.	Degree 1	Degree 2	Degree 3	Degree 4	Degree 5	Degree 6	Degree 7	Degree 8	Degree 9	Type	Description
çč	IEC	ontologically the same entity as X in terms of essence, sense of identity, behavior, personality, mind	ontologically the same entity as X in terms of physical make-up, appearance, physical manifestation or construction	that which ontologically is X as its natural identity (as opposed to that of another’s)	epistemologically the same entity as X in terms of essence, sense of identity, behavior, personality, mind	epistemologically the same entity as X in terms of physical make-up, appearance, physical manifestation or construction	that which epistemologically is X as its natural identity (as opposed to that of another’s)	the entity epistemologically convertible to X in terms of essence, sense of identity, behavior, personality, mind	the entity epistemologically convertible to X in terms of appearance or outward physical manifestation or construction	that which X is epistemologically synonymous, tantamount, or convertible to (as opposed to something else)	B	Identity, Equivalence, and Convertibility (following stem+specification patterns of copular root -Č-)
cd	RES	having behavioral traits similar to X	having eating/hunting habits similar to X	in an environmental niche similar to X	having a voice/call/cry similar to X	having various traits (appearance & behavior) similar to X	having a facial resemblance to X	having a bodily form similar to X	having bodily markings similar to X	having nesting/parenting habits similar to X	0	Resemblances to Other Species
čd	LEG	with one leg held straight, the other bent	with one leg folded under oneself, the other not	with one leg bent at the knee, the other held straight	with one leg bent with ankle upon opposite thigh	with legs crossed (one over the other)	with both legs crossed over one’s	with both legs bent at the knee	with both legs folded under oneself	with both legs held together	0	Position Of One’s Legs
čḑ	S29	interior movement along inner corner	inside movement at inner corner	movement into inward vertex	movement along inner corner	movement across inner corner	at inner corner	movement out of inward vertex	outside movement at inner corner	exterior movement along inner corner	D1	Internal point-like interior vertex/“corner” of an entity
çd	SNW	short-period 2D sine wave-like motion on vertical plane parallel to direction of travel	varying-period 2D sine wave-like motion on vertical plane parallel to direction of travel	long-period 2D sine wave-like motion on vertical plane parallel to direction of travel	short-period 2D sine wave-like motion on oblique plane parallel to direction of travel	varying-period 2D sine wave-like motion on oblique plane parallel to direction of travel	long-period 2D sine wave-like motion on oblique plane parallel to direction of travel	short-period 2D sine wave-like motion on horizontal plane parallel to direction of travel	varying-period 2D sine wave-like motion on horizontal plane parallel to direction of travel	long-period 2D sine wave-like motion on horizontal plane parallel to direction of travel	B	Secondary Sine Wave-like Motion
čḑr	S31	interior movement along straight inner edge	inside movement at straight inner edge	movement into straight inward edge	movement along straight inner edge	movement across straight inner edge	at straight inner edge	movement out of straight inward edge	outside movement at straight inner edge	exterior movement along straight inner edge	D1	Internal linear interior “corner” edge or “corner” space of an entity
cf	CUB	Mexican peso	Swiss franc	Turkish ₺	Chilean peso	Australian $	Swedish krona	Indonesian rupiah	Saudi ﷼ ‎	South Korean ₩	0	Currency B
čf	CUC	Thai ฿	South African rand	New Zealand $	₿itcoin	currency used	Israeli ₪	Polish złoty	Singapore $	Malaysian ringgit	0	Currency C
çf	SSM	with accompanying back-and-forth/inward-outward shaking motion	with accompanying side-to-side shaking motion	with accompanying up-and-down motion	with accompanying back-and-forth/inward-outward swinging motion	with accompanying side-to-side swinging motion	with accompanying up-and-down “bobbing” motion	with accompanying back-and-forth/inward-outward overhead arc-like motion	with accompanying side-to-side overhead arc-like motion	with accompanying up-and-down arc-like motion	B	Simultaneous Shaking Motion
cg	X11	11th in physical arrangement	11th in agreed-upon order	11th in hierarchical order	11th	w/11 instances	w/11 or more instances	w/11 parts/sections	w/11 nodes/connections/points	w/11 hierarchical levels/tiers	0	Eleven (used in the context of a number-base higher than ten)
čg	XTQ	100⁸th in physical arrangement	100⁸th in agreed-upon order	100⁸th in hierarchical order	100⁸th	w/100⁸ instances	w/100⁸ or more instances	w/100⁸ parts/sections	w/100⁸ nodes/connections/points	w/100⁸ hierarchical levels/tiers	0	Ten Quadrillion
çg	ZZG	short-period 2D zigzag motion on vertical plane parallel to direction of travel	varying-period 2D zigzag motion on vertical plane parallel to direction of travel	long-period 2D zigzag motion on vertical plane parallel to direction of travel	short-period 2D zigzag motion on oblique plane parallel to direction of travel	varying-period 2D zigzag motion on oblique plane parallel to direction of travel	long-period 2D zigzag motion on oblique plane parallel to direction of travel	short-period 2D zigzag motion on horizontal plane parallel to direction of travel	varying-period 2D zigzag motion on horizontal plane parallel to direction of travel	long-period 2D zigzag motion on horizontal plane parallel to direction of travel	B	Secondary Zigzag Motion
ch	DCS	too indecisive	incapable of deciding/choosing	very indecisive	indecisive	half-heartedly	decisive/deliberate	very decisive	intransigent	too intransigent	A2	Decisiveness or Commitment
čh	AFT	too cute/maudlin	cute/darling	kitschy/quaint	dear/endearing	lovely/elegant	esteemed	imperious/royal/revered	great/grand/grandiose	too grand/imperious	A2	Degree of Affect
cj	AUR	having the sound of X	having a sound similar to X	having a sound reminiscent of X	having a sound that has the same effect as X	having a sound that has an effect similar to that of X	sound whose cause is assumed to be X	sound caused by X	X’s apparent sound	X’s sound		
ck	DPC	iff true	if true, not if unknown, maybe if false	if true, maybe if unknown/false	if true/unknown, maybe if false	regardless	if true, not if false, maybe if unknown	if true/unknown, not if false	unknown and unpredictable dependency	in case of	0	Dependent Circumstances (specifies nature of dependency signified by the DEPENDENT case)
čk	XX8	8th in physical arrangement	8th in agreed-upon order	8th in hierarchical order	8th	w/8 instances	w/8 or more instances	w/8 parts/sections	w/8 nodes/connections/points	w/8 hierarchical levels/tiers	0	Eight
çk	FMM	edible as food	potentially edible but not used as food source	harmful/poisonous if eaten	beneficial as medicinal source	of unknown value as medicinal source	of no medicinal value	beneficial as source of material	unknown potential as source of material	valueless as source of material	B	Potential Food/Medicinal/Material Resource
cl	S09	interior movement along lengthwise middle	inside movement at lengthwise middle	movement into lengthwise middle	movement along lengthwise middle	movement across lengthwise middle	at lengthwise middle	movement out of lengthwise middle	outside movement at lengthwise middle	exterior movement along lengthwise middle	D1	Linear 1D middle, center as seen parallel to long axis of entity (or height-axis of a “tall” entity)
çl	PUA	for one’s own personal use	for use by a private/select group	for use by a specific/particular group	known only to or familiar only to oneself	known only to or familiar only to a private/select group	known only to or familiar only to a specific/particular group	associated with or having to do with oneself only	associated with or having to do with a private/select group	associated with or having to do with a specific/particular group	B	Private Usage Or Association
cm	CRI	cycle in place too slowly	cycle in place very slowly	cycle in place slowly	cycle in place slower than normal	cycle in place at a normal speed	cycle in place faster than normal	cycle in place fast	cycle in place very fast	cycle in place too fast	D2	Cycle or circular motion in place (spin, revolve)
čm	DIF	too easy	very easy	easy/certain/effortlessly	somewhat easy/not so difficult	neither easy nor difficult	somewhat difficult/not that easy	strained/difficult	very difficult	too difficult	D2	Degree of Difficulty
çm	EMO	feel(ing of) positive/desirable emotion associated with being or having been X’d or undergoing X	feel(ing of) ambivalent/complex emotion associated with being or having been) X’d or undergoing X	feel(ing of) negative/undesirable emotion associated with being or having been) X’d or undergoing X	feel(ing of) positive/desirable emotion associated with witnessing X	feel(ing of) ambivalent/complex emotion associated with witnessing X	feel(ing of) negative/undesirable emotion associated with witnessing X	feel(ing of) positive/desirable emotion associated with being/doing X	feel(ing of) ambivalent/complex emotion associated with being/doing X	feel(ing of) negative/undesirable emotion associated with being/doing X	B	Emotion Associated with a State, Act, Event
cn	AAM	from ancient Arabian Peninsula	from ancient Levant and Fertile Crescent	from ancient Anatolia, Cyprus	from ancient Palestine	from Middle East	from modern Palestine, Israel	from modern Turkey, Cyprus	from modern Syria, Lebanon, Iraq, Iran, Kurdistan	from modern Saudi Arabia, Oman, Yemen, UAE, Bahrain, Qatar	D1	Areal/Cultural Association - Middle-East
çn	OAU	entity/thing/phenomenon that hails from X	entity/thing/phenomenon associated with X	entity/thing/phenomenon that utilizes X	person that hails from X	person associated with X	person that utilizes X	idea/practice/custom that hails from X	idea/practice/custom associated with X	idea/practice/custom that utilizes X	B	Origin/Association/Utilization
çň	SYM	in an obligate relationship with another party to mutual benefit	in an obligate relationship to the benefit of oneself but neutral to the other party	in an obligate relationship to the benefit of oneself but harmful to the other party	in a facultative relationship with another party to mutual benefit	in a facultative relationship relationship to the benefit of oneself but neutral to the other party	in a facultative relationship relationship to the benefit of oneself but harmful to the other party	in an obligate or facultative relationship with another party of no benefit to oneself but advantageous/beneficial to the other party	in an obligate or facultative relationship with another party harmful to oneself but advantageous/beneficial to the other party	in a competitive relationship with another party [potentially] harmful to both parties	B	Symbiotic Relationship
cp	XX6	6th in physical arrangement	6th in agreed-upon order	6th in hierarchical order	6th	w/6 instances	w/6 or more instances	w/6 parts/sections	w/6 nodes/connections/points	w/6 hierarchical levels/tiers	0	Six
čp	DBV	be devoted/committed to	have impression/feeling that	think (believe) that	remember to	consider/think about	be resigned to	dare to	choose to	help to/aid in	0	Deliberative modalities
çp	BDM	with arms or non-ambulatory appendages waving/bending	with arms or non-ambulatory appendages making choppy movements	with arms or non-ambulatory appendages making (seemingly) random movements	with main body twisting/bending	with main body making choppy movements	with main body making (seemingly) random movements	with legs or ambulatory appendages waving/bending	with legs or ambulatory appendages making choppy movements	with legs or ambulatory appendages making (seemingly) random movements	B	In Situ Bodily Movements
cr	S10	interior movement along widthwise middle	inside movement at widthwise middle	movement into widthwise middle	movement along widthwise middle	movement across widthwise middle	at widthwise middle	movement out of widthwise middle	outside movement at widthwise middle	exterior movement along widthwise middle	D1	Linear 1D middle, center as seen perpendicular to long axis of entity (or height-axis of a “tall” entity)
cř	CSN	(quasi-)permanent suspension/cancellation/nullification of X	long-term suspension/cancellation/nullification of X	temporary suspension/cancellation/nullification of X	almost/near (full/total/complete) suspension/cancellation/nullification of X	partial suspension/cancellation/nullification/maintaining of X	almost/near (full/total/complete) maintaining of X	temporary maintaining of X	long-term maintaining of X	(quasi-)permanent maintaining of X	C	Cancellation - Suspension - Nullification - Maintenance
čř	AFM	emphatic relative affirmation contrary to expectation	emphatic relative affirmation	relative affirmation contrary to expectation	relative affirmation	yes to the preceding and X	absolute affirmation	absolute affirmation contrary to expectation	emphatic absolute affirmation	emphatic absolute affirmation contrary to expectation	C	Degree of Affirmation
çr	RSK	at great risk to oneself	at some risk to oneself	at little or no risk to oneself	at little or no risk to oneself or others	at some risk to oneself and others	at great risk to oneself and others	at little or no risk to others	at some risk to others	at great risk to others	B	Degree of Risk to a Party
çř	AFR	you might not know/recognize it	you may know but have forgotten	you know but have forgotten	you know but may have forgotten	I assume that you know	idk if you know but I'll elucidate	idk if you know but I can elucidate	idk if you know but if you insist I'll elucidate	idk if you know but I'm not gonna elucidate	C	Degree of Assumed Familiarity/Recognition
ct	SQP	first one, then the other, and so on	first one, then the one next to the first, and so on	first one, then the one opposite/facing the first, and so on	first the primary, then the secondary, then the tertiary, and so on	alternating between parties in a regular pattern	alternating between parties in a complex pattern known to them	alternating between parties in a seemingly (but not) random pattern	alternating between parties in a random pattern becoming regular	alternating between parties randomly	0	Sequential Participation
cţ	PIA	sulfate	nitrate	chlorate	arsenate	carbonate	chromate	bromate	phosphate	iodate	0	Polyatomic Ions group A
čt	IPC	this means/implies…	nevertheless, …	anyway/at any rate…	at least…	by the way…	not to change the subject, but…	as a matter of fact…	well, what do you know…	like it or not…	0	Unforeseen Implication Contrary to Expectation
čţ	PIC	peroxide	silicate	citrate	acetate	oxide	cyanide	tartrate	formate	oxalate	0	Polyatomic Ions group C
çt	CRC	in fast/small circle(s) on vertical plane parallel to direction of travel	in medium-sized/paced circle(s) on vertical plane parallel to direction of travel	in slow/large circle(s) on vertical plane parallel to direction of travel	in fast/small circle(s) on a plane perpendicular to direction of travel	in medium-sized/paced circle(s) on a plane perpendicular to direction of travel	in slow/large circle(s) on a plane perpendicular to direction of travel	in fast/small circle(s) on horizontal plane parallel to direction of travel	in medium-sized/paced circle(s) on horizontal plane parallel to direction of travel	in slow/large circle(s) on horizontal plane parallel to direction of travel	B	Circular Motion/Path of an Object
çţ	RPN	in slow regular intervals	in slow irregular intervals	in slow intervals	in irregular intervals	in regular intervals	repeated in intervals	in fast intervals	in fast irregular intervals	in fast regular intervals	B	Pattern of Spatio-Temporal Repetition or Distribution of Set Members
cv	NPE	extent/degree/presence of	availability of	influence of	pervasiveness/prevalence of	how much/specific amount of	spatial extent/volume/reach/spread of	degree of strength/power of	sufficiency/adequacy of	physical size of	0	Non-Relative Physical Extent
čv	TDM	hand-held/manual tool/utensil/implement for	specialized powered tool for	device/appliance for (small, handheld, countertop)	machine/apparatus for (large, industrial)	means/method for	procedure for	resource/material needed for	(quasi-) permanent implement used/left in place after (e.g., nail, screw, rivet, bolt, staple, clamp, suture, etc.)	automated process/system for	0	Tool/Device/Means
çv	SPR	short-period spinning motion on vertical plane parallel to direction of travel	varying-period spinning motion on vertical plane parallel to direction of travel	long-period spinning motion on vertical plane parallel to direction of travel	short-period spinning motion on perpendicular plane relative to the direction of travel	varying-period spinning motion on perpendicular plane relative to the direction of travel	long-period spinning motion on perpendicular plane relative to the direction of travel	short-period spinning motion on horizontal plane parallel to the direction of travel	varying-period spinning motion on horizontal plane parallel to the direction of travel	long-period spinning motion on horizontal plane parallel to the direction of travel	B	Spin/Rotation of an Object
cw	S14	interior movement through center point	inside movement at center point	movement into center point	movement at center point	movement across center point	at center point	movement out of center point	outside movement at center point	exterior movement around center point	D1	Center point, i.e., the point most equidistant from all points on the periphery or surface of an entity
d	SCS	failure beyond the worst expectations	complete failure	certain to fail	failed	of yet uncertain success	barely successful	certain to succeed	successful	success beyond the best expectations	D1	Degree of Success versus Failure
ḑ	P02	interior movement through here	movement inside here	movement into here	movement along here	movement across here	here	movement out of here	movement outside here	exterior movement alongside here	D1	Position at 0 / 0 / 0
ḑb	S05	interior movement through separable 3D midst	inside movement in separable 3D midst	movement into separable 3D midst	movement throughout separable 3D midst	movement across separable 3D midst	in separable 3D midst	movement out of separable 3D midst	outside movement around separable 3D midst	exterior movement along separable 3D midst	D1	Position/state intertwined/intermingled/intermixed in 3D volume [individual components separable/extractable]
dç	OPL	having a sudden, intense, unexpected onset but of only momentary duration	having a sudden/intense onset and enduring for a relatively brief duration	having a sudden/intense onset and enduring for a prolonged duration	having a relatively quick onset then suddenly stopping/ending	having a relatively quick onset and enduring for a relatively brief duration	having a relatively quick onset and enduring for a prolonged duration	having a slow onset then suddenly stopping	having a slow onset and enduring for a relatively brief duratio	having a slow onset and enduring for a prolonged duration		Degree of Onset & Prolongation
ḑc	CLG	associated spoken/written language	associated historical event	associated people/culture/society	associated sense of socio-cultural identity/solidarity	associated behavioral/personality trait, aesthetic style, physical characteristic	associated practice/ritual	associated belief	associated item/artifact/object/costume/artwork or tangible accomplishment	associated physical country/land/geographical domain	0	Cultural or Geo-Demographic Association (primarily used with carrier stems)
ḑç	CAM	largest, bass-oriented	larger, baritone-oriented	smaller treble/soprano-oriented	modified for greater note-range	modifed for loudness	modified for power/resonance	modified for operator	modified for child	simplified for learning	B	Customization & Modifications
ḑd	S04	interior movement through separable 2D midst	inside movement in separable 2D midst	movement into separable 2D midst	movement throughout separable 2D midst	movement across separable 2D midst	in separable 2D midst	movement out of separable 2D midst	outside movement around separable 2D midst	exterior movement along separable 2D midst	D1	Position/state intertwined/intermingled/intermixed in 2D planar context [individual components separable/extractable]
dg	ANG	(in) points	(in) hour angles	(in) grads	(in) mils	(in) radians	(in) sextants	(in) arc-seconds	(in) arc-minutes	(in) degrees	0* 1 arc-seconds 2 arc-minutes 3 mils 4 grads 5 degrees 6 points 7 hour angles 8 radians 9 sextants	Angular Measurement
ḑg	MDI	entity used to stop X	entity used to lessen/mitigate X	entity used to prevent/impede X	entity used to slow down X	entity used to modify X	entity used to accelerate/intensify X	entity used to enable/facilitate X	entity used to enhance/magnify X	entity used to initiate/start X	D1	Modification
ḑg	S07	interior movement through integrated 3D midst	inside movement in integrated 3D midst	movement into integrated 3D midst	movement throughout integrated 3D midst	movement across integrated 3D midst	in integrated 3D midst	movement out of integrated 3D midst	outside movement around integrated 3D midst	exterior movement along integrated 3D midst	D1	Position/state intertwined/intermingled/intermixed in 3D volume [individual components inseparable/permanently combined]
dh	DRC	too indirect	very indirect	indirect	somewhat indirect	neither too indirect nor too direct	somewhat direct	direct/straightforward	very direct/straightforward	too direct/painfully straightforward	A2	Degree of Directness/Frankness
dk	S02	interior movement through linear midst	inside movement in linear midst	movement into linear midst	movement along linear midst	movement across linear midst	in linear midst	movement out of linear midst	outside movement around linear midst	exterior movement along linear midst	D1	Position between/among [in a linear unidimensional context]
dl	M09	interior perlative 2D vertical movement	interior 2D vertical movement	entering 2D vertical movement	continuous course 2D vertical movement	2D vertical movement across	onward 2D vertical movement	exiting 2D vertical movement	exterior 2D vertical movement	exterior perlative 2D vertical movement	D1	ţw
dm	DPF	too perfunctory	perfunctory	cursory	somewhat cursory	at/with the proper level of attention to detail	somewhat detailed	detailed	very detailed	too detailed	D2	Degree of Perfunctoriness [should be reversed/renamed]
dn	OGC	northern	northwestern	western	northeastern	geographically central	southwestern	eastern	southeastern	southern	D1	Orientation or Location Relative to a Geographical Central Point
dr	M04	interior perlative approach₁/receding₂	interior approach₁/receding₂	entering approach₁/receding₂	continuous course approach₁/receding₂	approach₁/receding₂ across	onward approach₁/receding₂	exiting approach₁/receding₂	exterior approach₁/receding₂	exterior perlative approach₁/receding₂	D1	Horizontal planar translative motion
dř	SBS	single specific member (random)	natural 1st level subset	natural 2nd level subset	complex natural system or pattern within a set	subset of set	complex select pattern within a set	2nd level subset (externally determined)	1st level subset (externally determined)	single select member (externally determined)	C	Subset of Configurative Set
ḑř	RDT	multiple uses – involuntary	opposing use – involuntary	complementary use – involuntary/unpredictable	unrelated use - involuntary	not used for traditional purpose	unrelated use - voluntary	complementary use – voluntary/predictable	opposing use – voluntary	multiple uses – voluntary	C	Redirection of X to Other Use(s)
dv	HSR	sub-sub-	sub-	comprising some of a section	comprising most of a section	comprising more than one sub-section	comprising more than one section	comprising at least one section	super-	super-super-	D1	Hierarchical Sub- and Super-Rankings
ḑv	S06	interior movement through integrated 2D midst	inside movement in integrated 2D midst	movement into integrated 2D midst	movement throughout integrated 2D midst	movement across integrated 2D midst	in integrated 2D midst	movement out of integrated 2D midst	outside movement around integrated 2D midst	exterior movement along integrated 2D midst	D1	Position/state intertwined/intermingled/intermixed in 2D planar context [components inseparable/permanently combined]
dw	S19	interior movement along the bottom	inside movement at the bottom	movement into the bottom	movement along/throughout the bottom	movement across the bottom	at the bottom	movement out of the bottom	outside movement at the bottom	exterior movement along the bottom	D1	Bottom/foundation of an entity relative to its typical orientation under gravity
ḑw	S21	interior movement along the lower half	inside movement at the lower half	movement into the lower half	movement along/throughout the lower half	movement across the lower half	at the lower half	movement out of the lower half	outside movement at the lower half	exterior movement along the lower half	D1	Lower part/“half” of an entity relative to its typical orientation under gravity
dx	DCI	decrease then increase too slowly	decrease then increase very slowly	decrease then increase slowly	decrease then increase slower than normal	decrease then increase at a normal speed	decrease then increase faster than normal	decrease then increase fast	decrease then increase very fast	decrease then increase too fast	D2	Decrease then Increase
dy	S18	interior movement along the top	inside movement at the top	movement into the top	movement along/throughout the top	movement across the top	at the top	movement out of the top	outside movement at the top	exterior movement along the top	D1	Top/peak/summit of an entity relative to its typical orientation under gravity
ḑy	S20	interior movement along the upper half	inside movement at the upper half	movement into the upper half	movement along/throughout the upper half	movement across the upper half	at the upper half	movement out of the upper half	outside movement at the upper half	exterior movement along the upper half	D1	Upper part/“half” of an entity relative to its typical orientation under gravity
f	P07	interior movement through right	movement inside right	movement into right	movement along right	movement across right	right position	movement out of right	movement outside right	exterior movement alongside right	D1	Position at +X / 0 / 0
fb	SPM	with accompanying upward thrust/push	with accompanying obliquely-angled upward thrust/push	with accompanying forward thrust/push	with accompanying obliquely-angled outward thrust/push	with accompanying sideways thrust/push	with accompanying obliquely-angled lateral/backward thrust/push	with accompanying backward thrust/push	with accompanying obliquely-angled downward thrust/push	with accompanying downward thrust/push	D1	Simultaneous Thrusting/Pushing Motion
fc	SPP	root (plant)	trunk	branch/limb	small branch/branchling	twig	bark (plant)	stamen	stem (plant)	stalk	0	Structural Plant Parts
fč	DMU	(in) moles	(in) International Units	(in) katals	(in) moles per cu. meter	(in) joules per mole	(in) molar volumes (cu. meter per mole)	(in) molals (mole per kg)	(in) joules per kelvin mole	(in) siemens times sq. meter per mole	0	Density-Releated Measurement Units
fç	DSZ	smallest single manifestation/particle	runaway shrinkage/disappearance/diminishment	decreasing/de-escalating/shrinking	reduced/diminished/regressing/narrow (e.g., canyon → crevasse/crack)	compact/concentrated/efficient (e.g., canyon → gorge)	expanded/enhanced (e.g., canyon → rift valley)	growing/increasing/escalating	runaway growth/increase/expansion	synergistic expansion (e.g., hit + RPC → fight)	B	Dynamic Change of Size
fḑ	S15	interior movement along the side/flank	inside movement at the side/flank	movement into the side/flank	movement along/throughout the side/flank	movement across the side/flank	at the side/flank	movement out of the side/flank	outside movement at the side/flank	exterior movement along the side/flank	D1	Side/flank of an entity
fj	LOB	(in) lumens per sq. meter	(in) lumen seconds per cu. meter	(in) lumens per watt	(in) lamberts	(in) foot-lamberts	(in) stilbs	(in) diopters	(in) skots	(in) brils	0	Luminance & Optics B
fk	P14	interior movement through right+behind	movement inside right+behind	movement into right+behind	movement along right+behind	movement across right+behind	right+behind	movement out of right+behind	movement outside right+behind	exterior movement alongside right+behind	D1	Position at +X / -Y / 0
fkw	P24	interior movement through right+behind+below	movement inside right+behind+below	movement into right+behind+below	movement along right+behind+below	movement across right+behind+below	right+behind+below	movement out of right+behind+below	movement outside right+behind+below	exterior movement alongside right+behind+below	D1	Position at +X / -Y / -Z
fky	P23	interior movement through right+behind+above	movement inside right+behind+above	movement into right+behind+above	movement along right+behind+above	movement across right+behind+above	right+behind+above	movement out of right+behind+above	movement outside right+behind+above	exterior movement alongside right+behind+above	D1	Position at +X / -Y / +Z
fl	M13	interior perlative circular movement	interior circular movement	entering circular movement	continuous course circular movement	circular movement across	onward circular movement	exiting circular movement	exterior circular movement	exterior perlative circular movement	D1	Motion in a planar circular path 
